Order_ID,Order_Date,Product_ID,Model_Name,Unit_Price,Cost_Price,Quantity_Sold,Total_Sales,Total_Cost,Profit,Customer_ID,Customer_Age_Group,Customer_Gender,State,City,Customer_Rating,Return_Status,Return_Reason,Sales_Channel
ORD300000,2023-01-01,P003,Greenwich,2000,1200,2,4000,2400,1600,CUST49522,18-25,Male,Uttar Pradesh,Kanpur,5,Not Returned,,Own Website
ORD300001,2023-01-01,P006,Zenith,5000,3000,1,5000,3000,2000,CUST14845,26-35,Male,Kerala,Kochi,1,Not Returned,,Amazon
ORD300002,2023-01-01,P003,Greenwich,2000,1200,1,2000,1200,800,CUST53842,18-25,Male,Gujarat,Bhavnagar,4,Not Returned,,Amazon
ORD300003,2023-01-01,P004,clarity,3000,1800,1,3000,1800,1200,CUST26515,18-25,Male,Gujarat,Rajkot,3,Not Returned,,Amazon
ORD300004,2023-01-01,P001,vector,1000,600,2,2000,1200,800,CUST80882,18-25,Female,Tamil Nadu,Salem,5,Not Returned,,Flipkart
ORD300005,2023-01-01,P001,vector,1000,600,1,1000,600,400,CUST38014,36-50,Male,Uttar Pradesh,Agra,2,Not Returned,,Flipkart
ORD300006,2023-01-01,P005,Elegance,4000,2400,1,4000,2400,1600,CUST77065,36-50,Male,Madhya Pradesh,Bhopal,5,Not Returned,,Own Website
ORD300007,2023-01-01,P001,vector,1000,600,1,1000,600,400,CUST54657,26-35,Female,Karnataka,Belgaum,2,Returned,Item Doesn't Fit,Amazon
ORD300008,2023-01-01,P003,Greenwich,2000,1200,1,2000,1200,800,CUST13069,50+,Female,Maharashtra,Pune,3,Not Returned,,Amazon
ORD300009,2023-01-01,P001,vector,1000,600,2,2000,1200,800,CUST80770,18-25,Male,Andhra Pradesh,Vijayawada,5,Not Returned,,Amazon
ORD300010,2023-01-01,P009,Imperial,9000,5400,1,9000,5400,3600,CUST43907,26-35,Female,Tamil Nadu,Salem,4,Not Returned,,Flipkart
ORD300011,2023-01-01,P009,Imperial,9000,5400,1,9000,5400,3600,CUST49838,26-35,Female,Andhra Pradesh,Visakhapatnam,3,Not Returned,,Flipkart
ORD300012,2023-01-02,P005,Elegance,4000,2400,1,4000,2400,1600,CUST24475,26-35,Male,Maharashtra,Thane,1,Returned,Color Mismatch,Flipkart
ORD300013,2023-01-02,P009,Imperial,9000,5400,1,9000,5400,3600,CUST58887,18-25,Male,Uttar Pradesh,Lucknow,4,Not Returned,,Amazon
ORD300014,2023-01-02,P009,Imperial,9000,5400,2,18000,10800,7200,CUST92180,18-25,Female,Andhra Pradesh,Guntur,4,Not Returned,,Flipkart
ORD300015,2023-01-02,P008,Tribute,7000,4200,2,14000,8400,5600,CUST56461,26-35,Female,Uttar Pradesh,Noida,4,Not Returned,,Own Website
ORD300016,2023-01-02,P001,vector,1000,600,1,1000,600,400,CUST16256,26-35,Female,Maharashtra,Mumbai,4,Not Returned,,Amazon
ORD300017,2023-01-02,P005,Elegance,4000,2400,1,4000,2400,1600,CUST68816,26-35,Male,Punjab,Amritsar,4,Not Returned,,Amazon
ORD300018,2023-01-02,P003,Greenwich,2000,1200,1,2000,1200,800,CUST85030,26-35,Female,Maharashtra,Nagpur,4,Not Returned,,Amazon
ORD300019,2023-01-02,P002,Kinetic,1500,900,1,1500,900,600,CUST69394,36-50,Male,West Bengal,Kolkata,5,Not Returned,,Myntra
ORD300020,2023-01-02,P003,Greenwich,2000,1200,1,2000,1200,800,CUST40945,36-50,Male,Maharashtra,Nagpur,4,Not Returned,,Amazon
